,z3-base,z3-base,z3-base,z3-base,z3-base,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later
,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment
AProVE/aproveSMT5936474711471729077.smt2,394,43480,unsat,,,437,42688,unsat,,,,0,342,42700,unsat,,,,0
AProVE/aproveSMT3060102017506592639.smt2,395,43460,sat,1.0,15.0,539,44700,sat,1.0,15.0,,0,484,41932,sat,1.0,15.0,,0
AProVE/aproveSMT6340624394327839557.smt2,473,44720,sat,,3.0,447,43460,sat,,3.0,,0,378,42680,sat,,3.0,,0
AProVE/aproveSMT4950460231808465195.smt2,446,42680,sat,,,389,43448,sat,,,,0,433,41908,sat,,,,0
AProVE/aproveSMT8063658601531780609.smt2,5576,50652,sat,95.0,1165.0,4934,50832,sat,95.0,1165.0,,0,5200,50820,sat,95.0,1165.0,,0
AProVE/aproveSMT8392072785592004550.smt2,654,43464,unsat,148.0,513.0,678,44708,unsat,148.0,513.0,,0,584,43476,unsat,148.0,513.0,,0
AProVE/aproveSMT2880723937725784395.smt2,457,42696,unsat,1.0,4.0,428,43460,unsat,1.0,4.0,,0,447,41904,unsat,1.0,4.0,,0
AProVE/aproveSMT1090306236237454748.smt2,476,42672,sat,1.0,2.0,454,42696,sat,1.0,2.0,,0,464,43448,sat,1.0,2.0,,0
AProVE/aproveSMT1436661845167250093.smt2,1065,43452,sat,67.0,702.0,1152,42676,sat,67.0,702.0,,0,1096,43452,sat,67.0,702.0,,0
AProVE/aproveSMT5989375556804294526.smt2,461,41908,sat,,3.0,453,41916,sat,,3.0,,0,440,43464,sat,,3.0,,0
AProVE/aproveSMT1705398915961754594.smt2,1053,44220,sat,2.0,340.0,1148,43520,sat,2.0,340.0,,0,1022,44096,sat,2.0,340.0,,0
