,z3-base,z3-base,z3-base,z3-base,z3-base,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later
,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment
kissing/kissing_4_4.smt2,456,44724,sat,1.0,13.0,459,42680,sat,1.0,13.0,,0,456,43468,sat,1.0,13.0,,0
kissing/kissing_3_8.smt2,63026,3072,timeout,,,63024,3840,timeout,,,,0,63023,3072,timeout,,,,0
kissing/kissing_3_6.smt2,63026,3072,timeout,,,63024,3072,timeout,,,,0,664,43460,sat,4.0,67.0,6.0,0
kissing/kissing_3_11.smt2,63021,3840,timeout,,,63023,3072,timeout,,,,0,63023,3840,timeout,,,,0
kissing/kissing_4_9.smt2,63023,3840,timeout,,,63024,3072,timeout,,,,0,63023,3072,timeout,,,,0
kissing/kissing_4_3.smt2,413,43460,sat,1.0,10.0,492,41912,sat,1.0,10.0,,0,433,41908,sat,1.0,10.0,,0
kissing/kissing_2_5.smt2,19484,52072,sat,5.0,75.0,6665,42684,sat,41.0,116.0,25.0,0,568,43444,sat,12.0,90.0,2.0,0
kissing/kissing_4_1.smt2,437,42668,sat,,4.0,457,42684,sat,,4.0,,0,410,42696,sat,,4.0,,0
kissing/kissing_3_10.smt2,63026,3840,timeout,,,63028,3072,timeout,,,,0,63021,3840,timeout,,,,0
kissing/kissing_4_24.smt2,63027,3840,timeout,,,63022,3072,timeout,,,,0,63021,3072,timeout,,,,0
kissing/kissing_4_10.smt2,63020,3072,timeout,,,63025,3840,timeout,,,,0,63022,3072,timeout,,,,0
kissing/kissing_4_13.smt2,63049,3072,timeout,,,63020,3072,timeout,,,,0,63023,3840,timeout,,,,0
kissing/kissing_4_5.smt2,436,42676,sat,1.0,12.0,462,46336,sat,1.0,12.0,,0,530,44744,sat,1.0,12.0,,0
kissing/kissing_2_1.smt2,385,43452,sat,,3.0,403,42680,sat,,3.0,,0,386,42676,sat,,3.0,,0
kissing/kissing_4_8.smt2,63024,3840,timeout,,,63030,3072,timeout,,,,0,63027,3072,timeout,,,,0
kissing/kissing_3_12.smt2,63031,3072,timeout,,,63024,3072,timeout,,,,0,63025,3072,timeout,,,,0
kissing/kissing_2_6.smt2,63021,3072,timeout,,,63028,3072,timeout,,,,0,63024,3072,timeout,,,,0
kissing/kissing_4_17.smt2,63022,3840,timeout,,,63041,3840,timeout,,,,0,63024,3840,timeout,,,,0
kissing/kissing_4_22.smt2,63021,3072,timeout,,,63028,3072,timeout,,,,0,63021,3072,timeout,,,,0
kissing/kissing_4_2.smt2,370,42676,sat,1.0,6.0,593,43932,sat,1.0,6.0,,0,382,44728,sat,1.0,6.0,,0
kissing/kissing_3_13.smt2,63025,3840,timeout,,,63028,3840,timeout,,,,0,63023,3840,timeout,,,,0
kissing/kissing_3_1.smt2,422,43456,sat,,4.0,382,41904,sat,,4.0,,0,457,43448,sat,,4.0,,0
kissing/kissing_2_4.smt2,63023,3072,timeout,,,501,44716,sat,5.0,33.0,8.0,0,63022,3072,timeout,,,,0
kissing/kissing_3_2.smt2,424,42672,sat,,5.0,439,45548,sat,,5.0,,0,375,41904,sat,,5.0,,0
kissing/kissing_4_6.smt2,63023,3072,timeout,,,2915,41920,sat,21.0,182.0,25.0,0,63023,3072,timeout,,,,0
kissing/kissing_3_7.smt2,63020,3072,timeout,,,512,42692,sat,2.0,52.0,3.0,0,63018,3840,timeout,,,,0
kissing/kissing_2_7.smt2,63023,3840,timeout,,,63024,3072,timeout,,,,0,63021,3840,timeout,,,,0
kissing/kissing_4_12.smt2,63019,3840,timeout,,,63020,3840,timeout,,,,0,63021,3840,timeout,,,,0
kissing/kissing_3_4.smt2,399,42684,sat,1.0,11.0,454,42688,sat,1.0,11.0,,0,468,44856,sat,1.0,11.0,,0
kissing/kissing_4_15.smt2,63023,3840,timeout,,,63022,3072,timeout,,,,0,63024,3840,timeout,,,,0
kissing/kissing_4_19.smt2,63020,3072,timeout,,,63026,3840,timeout,,,,0,63023,3072,timeout,,,,0
kissing/kissing_2_2.smt2,434,43960,sat,1.0,6.0,382,42672,sat,1.0,6.0,,0,380,42708,sat,1.0,6.0,,0
kissing/kissing_4_20.smt2,63020,3072,timeout,,,63020,3840,timeout,,,,0,63024,3072,timeout,,,,0
kissing/kissing_4_25.smt2,63027,3072,timeout,,,63024,3072,timeout,,,,0,63026,3072,timeout,,,,0
kissing/kissing_4_11.smt2,63021,3840,timeout,,,63021,3072,timeout,,,,0,63021,3072,timeout,,,,0
kissing/kissing_4_21.smt2,63025,3840,timeout,,,63020,3840,timeout,,,,0,63017,3072,timeout,,,,0
kissing/kissing_2_3.smt2,424,41920,sat,,5.0,423,43456,sat,,5.0,,0,406,42696,sat,,5.0,,0
kissing/kissing_4_16.smt2,63020,3840,timeout,,,63029,3072,timeout,,,,0,63022,3072,timeout,,,,0
kissing/kissing_4_14.smt2,63020,3072,timeout,,,63022,3072,timeout,,,,0,63022,3072,timeout,,,,0
kissing/kissing_3_5.smt2,389,43472,sat,1.0,12.0,547,41912,sat,1.0,12.0,,0,433,43444,sat,1.0,12.0,,0
kissing/kissing_4_7.smt2,514,42676,sat,5.0,81.0,512,42672,sat,3.0,76.0,2.0,0,487,42676,sat,5.0,81.0,,0
kissing/kissing_3_9.smt2,63025,3072,timeout,,,63023,3840,timeout,,,,0,63027,3072,timeout,,,,0
kissing/kissing_4_23.smt2,63020,3072,timeout,,,63023,3072,timeout,,,,0,63022,3072,timeout,,,,0
kissing/kissing_3_3.smt2,464,42676,sat,1.0,9.0,447,41900,sat,1.0,9.0,,0,467,43460,sat,1.0,9.0,,0
kissing/kissing_4_18.smt2,63021,3072,timeout,,,63026,3072,timeout,,,,0,63021,3840,timeout,,,,0
20211101-Geogebra/Triangle-Bottema1_4.smt2,510,42688,sat,1.0,2.0,486,42688,sat,1.0,2.0,,0,416,42680,sat,1.0,2.0,,0
20211101-Geogebra/IsoTriangle-Bottema8_1a.smt2,364,43444,sat,1.0,1.0,442,42684,sat,1.0,1.0,,0,464,42680,sat,1.0,1.0,,0
20211101-Geogebra/IsoTriangle-Bottema1_19a.smt2,414,41904,sat,1.0,2.0,386,42676,sat,1.0,2.0,,0,468,43468,sat,1.0,2.0,,0
20211101-Geogebra/RightTriangle-Bottema8_1a.smt2,382,43452,sat,1.0,2.0,437,43456,sat,1.0,2.0,,0,447,44232,sat,1.0,2.0,,0
20211101-Geogebra/RightTriangle-Bottema4_2a.smt2,511,42668,sat,1.0,1.0,409,41908,sat,1.0,1.0,,0,427,42680,sat,1.0,1.0,,0
20211101-Geogebra/Triangle-Bottema5_3.smt2,392,41896,sat,1.0,2.0,420,42668,sat,1.0,2.0,,0,378,42680,sat,1.0,2.0,,0
20211101-Geogebra/Triangle-SymmHomPoly_3-2-3.smt2,439,41908,sat,1.0,5.0,411,42660,sat,1.0,5.0,,0,488,41920,sat,1.0,5.0,,0
20211101-Geogebra/IsoTriangle-Bottema5_3b.smt2,458,42680,sat,1.0,4.0,410,42676,sat,1.0,4.0,,0,405,43456,sat,1.0,4.0,,0
20211101-Geogebra/Triangle-Bottema1_6.smt2,361,43460,sat,1.0,3.0,388,41916,sat,1.0,3.0,,0,365,42680,sat,1.0,3.0,,0
20211101-Geogebra/RegHeptagon-Diagonal_Side.smt2,63023,3072,timeout,,,63024,3072,timeout,,,,0,63021,3072,timeout,,,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_14b.smt2,383,44716,sat,1.0,2.0,453,42676,sat,1.0,2.0,,0,442,42684,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_14a.smt2,456,42688,sat,1.0,2.0,421,42672,sat,1.0,2.0,,0,726,44720,sat,1.0,2.0,,0
20211101-Geogebra/RightTriangle-Bottema11_20.smt2,365,44216,sat,1.0,1.0,372,42680,sat,1.0,1.0,,0,375,42676,sat,1.0,1.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_3b.smt2,391,42696,sat,1.0,2.0,442,42676,sat,1.0,2.0,,0,441,43448,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_9b.smt2,494,42668,sat,1.0,2.0,466,41900,sat,1.0,2.0,,0,414,41908,sat,1.0,2.0,,0
